Event,Run,Tap
55416350,16068,4
84463821,16023,7
27909799,15394,6
44642481,15394,6
3445129,15683,6
19427457,15785,6
40474719,15785,15
9376553,9073,6
2108078,16403,4
18762542,14771,6
72960323,15878,4
17600173,8850,6
20790093,8934,14
14762429,8266,6
10675685,15052,6
2593240,15439,6
25762823,15439,2
32875343,10794,2
50404331,15751,6
16742162,15789,2
14847782,15034,6
25212567,15034,6
2871692,16923,4
3764578,16923,4
31272779,16923,4
12795380,15884,6
11128910,15909,6
69234323,15909,4
23298048,15438,6
44462642,15438,15
13344516,15844,2
3104343,14760,14
7916957,16731,4
14368099,15415,6
85305650,15915,7
2986456,16065,4
6002651,15287,6
8572242,15790,2
14778761,16022,4
32255485,16022,6
10960746,15919,4
30448667,16396,4
44502865,15956,7
40016530,15051,6
53252655,15051,14
24652897,15422,2
26803301,15387,15
14531722,16653,2
52487702,16653,4
66962219,16653,7
20272356,16028,4
34792895,16028,4
68909799,16943,6
47931347,15055,6
37381399,16096,4
29431656,16581,4
57459506,16581,4
59319241,16581,7
20440949,15838,7
37952936,15838,6
39974653,15838,2
30866917,17102,6
23144720,16103,4
13029206,10700,2
30669605,15961,4
20748070,14804,15
45228988,14804,6
79493647,16931,14
4168854,8248,6
16411787,8248,2
33788272,8248,6
63101444,16400,4
18903199,15786,15
1971733,15948,4
71533275,16042,6
45791819,10955,14
57291267,16533,6
2254580,8294,6
44455607,16802,4
37581816,16077,4
11446624,10829,6
45774430,15016,6
33052968,15951,4
40146476,15951,4
79912434,16072,4
23086778,11597,6
23949105,15949,4
36365018,16043,7
25200274,16934,6
75745408,16934,6
17083645,16798,4
29388776,16798,4
45499334,16076,6
19446613,15766,6
36412610,15766,6
12114484,15269,6
32075741,15269,14
22764236,16938,6
51559214,16018,6
22166219,15032,6
22800158,14975,6
44241553,14975,6
56929609,15883,4
6628720,15762,2
26777907,16667,7
11032028,10792,2
22001523,15445,6
75314184,15445,6
81812073,15445,6
19877529,15007,6
34662182,15007,6
15468147,16696,4
19171424,16696,7
22715493,16696,6
57713373,16696,4
